zipcode,plus4_code,Count_ICE_Type,Count_PHEV_Type,Count_BEV_Type
90002,1136,3,0,0
90002,1153,1,0,0
90002,1158,1,0,0
90002,1159,1,0,0
90002,1160,1,0,0
90002,1161,1,0,0
90002,1162,6,0,0
90002,1305,10,0,0
90002,1307,3,0,0
90002,1355,7,0,0
90002,1600,3,0,0
90002,1601,17,0,0
90002,1602,16,0,0
90002,1603,4,0,0
90002,1604,51,0,0
90002,1605,30,0,0
90002,1606,23,2,0
90002,1607,39,0,0
90002,1608,16,0,0
90002,1609,28,0,0
90002,1610,18,1,0
90002,1611,25,0,1
90002,1612,36,0,0
90002,1613,30,0,0
90002,1614,22,0,0
90002,1615,16,0,0
90002,1616,1,0,0
90002,1617,28,0,0
90002,1618,23,0,0
90002,1619,3,0,0
90002,1620,18,0,0
90002,1621,17,0,0
90002,1622,15,0,0
90002,1623,19,0,0
90002,1624,16,0,0
90002,1625,23,0,0
90002,1626,10,0,0
90002,1627,13,0,0
90002,1628,1,0,0
90002,1629,22,0,0
90002,1630,16,0,0
90002,1631,23,0,0
90002,1632,10,0,0
90002,1633,15,0,0
90002,1634,22,0,0
90002,1635,3,0,0
90002,1636,25,0,0
90002,1637,25,0,0
90002,1639,3,0,0
90002,1641,7,0,0
90002,1644,2,0,0
90002,1646,2,0,0
90002,1647,8,0,0
90002,1648,4,0,0
90002,1650,1,0,0
90002,1652,7,0,0
90002,1653,5,0,0
90002,1707,4,0,0
90002,1738,3,0,0
90002,1739,1,0,0
90002,1740,5,0,0
90002,1741,14,0,0
90002,1749,1,0,0
90002,1900,1,0,0
90002,1901,17,0,0
90002,1902,21,0,0
90002,1903,18,0,0
90002,1904,23,0,0
90002,1905,22,0,1
90002,1906,21,0,0
90002,1907,18,0,0
90002,1908,18,0,0
90002,1909,39,0,0
90002,1910,20,0,1
90002,1911,24,0,0
90002,1912,22,0,0
90002,1913,15,0,0
90002,1914,24,0,0
90002,1915,31,0,0
90002,1916,23,0,0
90002,1917,31,0,0
90002,1918,19,0,0
